epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9441,1.79841,4.98733,1.64766,0.57746,0.13646,0.13909,0.07083,1.5641,6.95324,1.47572,0.00010766,0.00010766,0.00010766
2,41.0547,1.53093,3.20453,1.4968,0.36636,0.21951,0.16457,0.09318,1.69135,3.92289,1.52637,0.000220802,0.000220802,0.000220802
3,54.7943,1.52052,2.4581,1.45178,0.41107,0.19862,0.15626,0.07518,1.71293,4.03279,1.65251,0.00033166,0.00033166,0.00033166
4,63.8238,1.49016,2.21824,1.46561,0.31984,0.2375,0.15181,0.08107,1.70701,3.97414,1.72373,0.000440235,0.000440235,0.000440235
5,71.6349,1.45884,2.00746,1.4311,0.37858,0.2011,0.13739,0.06361,1.88996,3.19558,1.84285,0.000546525,0.000546525,0.000546525
6,79.4906,1.46673,1.93853,1.44327,0.54606,0.14627,0.15558,0.08249,1.8309,2.9885,1.81354,0.000650532,0.000650532,0.000650532
7,87.183,1.56793,2.00497,1.50575,0.39771,0.13276,0.09346,0.04178,1.90882,3.0942,1.92072,0.000723321,0.000723321,0.000723321
8,94.9907,1.50268,1.87122,1.49882,0.21599,0.15989,0.07087,0.03259,1.98635,4.06019,2.10564,0.000715708,0.000715708,0.000715708
9,102.565,1.50106,1.94084,1.45336,0.2946,0.27178,0.17707,0.09029,1.90446,3.26135,1.9276,0.000708095,0.000708095,0.000708095
10,110.025,1.48722,1.78386,1.44265,0.30268,0.17095,0.13234,0.07362,1.99002,3.40879,2.13252,0.000700482,0.000700482,0.000700482
11,117.535,1.43291,1.73118,1.4192,0.25625,0.23377,0.16425,0.09075,2.00256,3.27568,2.01435,0.000692869,0.000692869,0.000692869
12,125.025,1.42646,1.65086,1.42012,0.47443,0.12243,0.13146,0.07519,1.92144,3.42285,1.98764,0.000685256,0.000685256,0.000685256
13,132.519,1.41508,1.64221,1.39493,0.37253,0.16061,0.11768,0.07011,1.99037,3.659,2.04542,0.000677643,0.000677643,0.000677643
14,139.996,1.42182,1.60722,1.40116,0.35736,0.20344,0.18575,0.10024,1.93396,2.74115,1.99991,0.00067003,0.00067003,0.00067003
15,148.763,1.35792,1.45342,1.37497,0.37718,0.30766,0.16596,0.08533,1.86476,2.63434,1.86958,0.000662417,0.000662417,0.000662417
16,156.233,1.36799,1.54784,1.37833,0.32781,0.25354,0.21386,0.11374,1.94089,2.52214,1.80197,0.000654804,0.000654804,0.000654804
17,163.716,1.39442,1.49475,1.39331,0.38274,0.26018,0.23132,0.11001,1.97064,2.51223,1.92232,0.00064719,0.00064719,0.00064719
18,171.192,1.3581,1.38627,1.37993,0.1925,0.33126,0.19073,0.09939,1.87283,2.78256,1.87365,0.000639577,0.000639577,0.000639577
19,178.653,1.28484,1.35582,1.32286,0.36615,0.27576,0.24309,0.12683,1.84392,2.56624,1.79487,0.000631964,0.000631964,0.000631964
20,186.218,1.26928,1.29324,1.31634,0.42114,0.28033,0.26696,0.14211,1.8586,2.4679,1.8533,0.000624351,0.000624351,0.000624351
21,193.74,1.27829,1.27665,1.318,0.49047,0.32308,0.27985,0.13753,1.8629,2.49437,1.81037,0.000616738,0.000616738,0.000616738
22,201.209,1.26912,1.28042,1.31641,0.28632,0.26925,0.23713,0.13587,1.84218,2.60093,1.77584,0.000609125,0.000609125,0.000609125
23,208.76,1.24662,1.27272,1.29367,0.41894,0.32568,0.26442,0.14681,1.85544,2.33099,1.82473,0.000601512,0.000601512,0.000601512
24,216.353,1.23609,1.21982,1.29108,0.44174,0.26776,0.24394,0.12761,1.92369,2.62008,1.85651,0.000593899,0.000593899,0.000593899
25,223.826,1.22337,1.14233,1.27788,0.44953,0.23711,0.22876,0.12007,1.90209,2.66333,1.90091,0.000586286,0.000586286,0.000586286
26,231.308,1.19434,1.1922,1.25806,0.33725,0.30239,0.29894,0.16198,1.91284,2.54628,1.85715,0.000578672,0.000578672,0.000578672
27,238.797,1.22381,1.12564,1.26093,0.59098,0.23398,0.29005,0.14766,1.87976,2.58095,1.85024,0.000571059,0.000571059,0.000571059
28,246.243,1.17487,1.12525,1.2462,0.60304,0.24774,0.27977,0.15885,1.85344,2.47214,1.81422,0.000563446,0.000563446,0.000563446
29,253.693,1.13929,1.07668,1.21816,0.49399,0.31407,0.28031,0.1534,1.82805,2.34383,1.77637,0.000555833,0.000555833,0.000555833
30,261.227,1.11735,1.06486,1.20839,0.49427,0.29895,0.30906,0.16642,1.86741,2.32278,1.81113,0.00054822,0.00054822,0.00054822
31,268.743,1.15438,1.03966,1.23043,0.44584,0.35859,0.30886,0.16556,1.85829,2.30052,1.85597,0.000540607,0.000540607,0.000540607
32,276.319,1.10688,0.98553,1.20868,0.32548,0.37468,0.28411,0.14547,1.89611,2.54061,1.8642,0.000532994,0.000532994,0.000532994
33,283.791,1.11543,0.91991,1.19059,0.51026,0.29751,0.29381,0.15754,1.85576,2.42257,1.79126,0.000525381,0.000525381,0.000525381
34,291.354,1.0845,0.97094,1.20744,0.40425,0.35206,0.26939,0.14663,1.84795,2.45299,1.7879,0.000517768,0.000517768,0.000517768
35,298.819,1.05356,0.87863,1.16555,0.56624,0.29681,0.32537,0.18481,1.83188,2.20896,1.78919,0.000510155,0.000510155,0.000510155
36,306.436,1.0343,0.88869,1.15468,0.54762,0.34685,0.32967,0.18129,1.80765,2.48801,1.78185,0.000502541,0.000502541,0.000502541
37,314.016,1.03431,0.89002,1.16358,0.49101,0.40612,0.33963,0.18392,1.82537,2.39994,1.76853,0.000494928,0.000494928,0.000494928
38,321.578,1.01902,0.8569,1.14569,0.40614,0.48756,0.36426,0.17857,1.85624,2.29045,1.77092,0.000487315,0.000487315,0.000487315
39,329.359,0.98081,0.82476,1.13201,0.62943,0.26144,0.31561,0.17761,1.84799,2.39243,1.85291,0.000479702,0.000479702,0.000479702
40,336.812,0.97996,0.7892,1.12312,0.51741,0.34193,0.33127,0.17975,1.86534,2.38273,1.81771,0.000472089,0.000472089,0.000472089
41,344.244,0.99083,0.84105,1.14144,0.46296,0.33485,0.36003,0.21262,1.83495,2.44851,1.81175,0.000464476,0.000464476,0.000464476
42,351.807,0.97378,0.7813,1.11651,0.6284,0.33612,0.3312,0.18847,1.92072,2.58878,1.88056,0.000456863,0.000456863,0.000456863
43,359.367,0.95502,0.78758,1.10652,0.6591,0.31714,0.35927,0.21232,1.82705,2.29729,1.80444,0.00044925,0.00044925,0.00044925
44,366.774,0.95793,0.75794,1.10346,0.41841,0.39145,0.35152,0.19736,1.86509,2.31022,1.86565,0.000441637,0.000441637,0.000441637
45,374.346,0.94686,0.76476,1.1014,0.36952,0.38007,0.33759,0.19426,1.80888,2.5743,1.79735,0.000434024,0.000434024,0.000434024
